year,real_gdp,capital_stock,population,human_capital_index,s,real_interest_rate,depreciation_rate,labour_force,consumption_share,total_factor_productivity,consumption,labour_share_output,y,k,n,growth_rate,g,capital_share,A_estimate,actual_investment,break_even_investment,delta_k,c,g_c_dot,estimated_rho,rck_capital_accumulation,c_k_dot_zero
1989,2283725.5,9499322.0,79.007065,3.40422010421753,0.288397878408432,0.0549871437251568,0.033193863928318,40.0093269348145,0.589371263980866,0.788558304309845,2249876.25,0.654494643211365,57079.82800412456,237427.6881857283,0.009315973720189337,0.04939180751166461,0.02479869741054589,0.345505356788635,876.2888653030157,16461.70129630773,12795.20598373229,3666.495312575438,56233.79402671852,0.007198889632957004,0.05138769890867829,-11949.17200632625,44284.62202039227
1990,2449806.0,10050499.0,79.707959,3.43026661872864,0.29082778096199,0.0562680885195732,0.0335875786840916,39.876953125,0.598479568958283,0.8239426612854,2331902.5,0.650870203971863,61434.13194886614,252037.7865504237,-0.00330857377406458,0.07020073706478769,0.04487221399123272,0.349129796028137,924.3224488270445,17866.75227001484,10499.92619533751,7366.82607467733,58477.44918450311,0.03989869786695444,0.03631873958609598,-7543.243430974475,50934.20575352863
1991,2602268.25,10673560.0,80.303196,3.44363522529602,0.297377973794937,0.0500361323356628,0.0341095365583897,39.0394172668457,0.591801404953003,0.874489843845367,2427040.25,0.676948189735413,66657.45628867214,273404.6957474578,-0.0210030053080766,0.06037463080256167,0.06134793710172794,0.323051810264587,975.7483554737624,19822.4592894499,6695.039409820432,13127.41987962947,62168.96715979335,0.06312720590193793,0.01847252938469383,-2206.55028094164,59962.41687885171
1992,2707245.75,11323161.0,80.934898,3.45705556869507,0.294391840696335,0.0470673590898514,0.0345474034547806,38.5750961303711,0.601074993610382,0.882075011730194,2516739.5,0.68569028377533,70181.17961003655,293535.5225488344,-0.01189364926481441,0.03954832111587159,0.008673820443097396,0.31430971622467,1002.994677028705,20660.76664763875,9990.445192375157,10670.3214552636,65242.59826843336,0.04943995773228519,0.0223473802237088,-5051.863850771968,60190.73441766139
1993,2724812.25,11898819.0,81.486773,3.47052812576294,0.276688158512116,0.0444576852023602,0.0346311070024967,38.1237449645996,0.608289778232575,0.881919980049133,2528267.75,0.687093138694763,71472.83805749322,312110.4448434652,-0.01170058434193088,0.006467736992581408,-0.0001757579332815672,0.312906861305237,1000.523812908479,19775.68794576248,10709.02270497499,9066.66524078749,66317.40277214798,0.01647396842309161,0.0362207009908144,-5553.587419629748,60763.81535251823
1994,2841783.5,12412863.0,81.773617,3.48405337333679,0.276704341173172,0.0489173121750355,0.0344488471746445,38.1793022155762,0.598970293998718,0.896690905094147,2580233.75,0.674394965171814,74432.56778120538,325120.2164437637,0.001457287342263636,0.04203232136681123,0.01674860007615552,0.325605034828186,1027.69668377314,20595.8146297259,15374.0431015749,5221.771528151005,67582.00386772206,0.01906891770051626,0.03938285332477737,-8523.479188091578,59058.52467963048
1995,2934607.75,12793117.0,82.01989,3.49763154983521,0.271418541669846,0.0499785915017128,0.0342400409281254,38.3849334716797,0.601857542991638,0.899680972099304,2620361.0,0.670392394065857,76452.07336793082,333284.8553570824,0.005385935419731401,0.03214195066700576,0.003334557078888949,0.329607605934143,1046.782900141452,20750.51026115986,16999.89342351316,3750.616837646699,68265.35213180179,0.010111393935836,0.0449228945337948,-8813.172187384127,59452.17994441766
1996,2975042.0,13088722.0,82.263189,3.51126217842102,0.255052149295807,0.0509701557457447,0.034065768122673,38.4402847290039,0.614152073860169,0.90356320142746,2671252.5,0.66611385345459,77393.85961819571,340494.9284916279,0.00144200477421787,0.01368435785219368,0.004315117745679703,0.33388614654541,1052.052649381906,19739.47023791878,15965.4309440473,3774.039293871485,69490.9655022532,0.0179536665699033,0.04199332246079305,-8062.536828104779,61428.42867414842
1997,3078771.25,12910816.0,82.389638,3.52494621276855,0.246080353856087,0.0537782087922096,0.0339398570358753,38.4614028930664,0.611060619354248,0.913116931915283,2698278.0,0.655517816543579,80048.33465279092,335682.3992066989,0.0005493758490962986,0.03427241603563935,0.01057339483583421,0.344482183456421,1093.375287533273,19698.32251694926,15397.87080891797,4300.451708031293,70155.47528263537,0.00956253486448715,0.04899694135996602,-5505.011438762418,64650.46384387295
1998,3208453.25,12761031.0,82.011939,3.53868365287781,0.244495138525963,0.0563417226076126,0.033917210996151,38.7734031677246,0.602195560932159,0.915883600711823,2747543.25,0.64860725402832,82748.8171755517,329118.1572274889,0.008112035734256817,0.04125839484998828,0.003029917308330735,0.35139274597168,1137.817854309493,20231.6835181961,17578.32216149989,2653.361356696205,70861.544913011,0.01006435531269795,0.05130954495126362,-5691.049898959205,65170.4950140518
